what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1473136339839
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1473136340851
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1473136340936
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1473136341051
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1473136341063
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1473136341147
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1473136341156
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1473136341205
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1473136341283
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1473136341400
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1473136341499
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1473136341574
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1473136342059
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1473136342573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1473136345346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473136346933
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1473136348729
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1473136348837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136354587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136359238
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1473136360897
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473136360982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1473136364546
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1473136368192
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1473136368483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473136371700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1473136383379
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1473136396363
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1473136396454
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1473136396555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136396695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136399906
opened,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1473136400593
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1473136402929
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1473136403015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136408410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136409289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136414486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136414494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136415160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136416344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136418665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473136507865
activated,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1473136507913
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1473136508159
