what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1468903721706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903722766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903723702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903728398
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468903739788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903750051
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468903771564
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468903771720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468903778057
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468903778291
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468903782721
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468903783844
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468903783938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903798323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903800014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903806333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903807737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903810188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903810219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903812840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903830164
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468903832161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903834142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903838947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903845093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468903848728
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468903889165
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468903893892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1468904114274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904120545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904121685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904124088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904124119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904126834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904137552
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468904137583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904148207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904148441
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468904152481
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468904173729
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468904194271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904280087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904431735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.activateEditor",1468904639371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904645238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904757745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904835418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904837805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904837867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904839365
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468904840114
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1468904841533
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1468904841533
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1468904841533
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1468904841549
