what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1470369796121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470369837632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470369955054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470370084253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470370184380
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1470370186283
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1470370186284
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1470370186287
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470370186371
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470370186490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470370193997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470370197153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470370199743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470370211357
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470370212304
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470370212466
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470370213300
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470370213439
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470370218969
